E-BIKE Haibike; 40; 23800; FALSE; 30000; pink; 1455
FOLDING BIKE Author; 26; 24; 10200; TRUE; black; 1599
E-BIKE Maraton; 40; 18900; FALSE; 6800; pink; 869
E-BIKE E-Motion; 45; 19600; FALSE; 24000; silver; 1489
E-BIKE Booster; 35; 10900; FALSE; 13200; green; 1279
E-BIKE Freego; 45; 10400; FALSE; 2900; green; 985
FOLDING BIKE Author; 24; 27; 13200; FALSE; flame; 325
E-BIKE Freego; 10; 12900; TRUE; 9400; flame; 759
E-BIKE Mando Footloose; 35; 24300; FALSE; 26000; yellow; 1369
E-BIKE Farad; 35; 27000; TRUE; 12000; blue; 1579
FOLDING BIKE BMW; 18; 9; 10300; FALSE; rose; 1065
E-BIKE Ecofect; 25; 23100; TRUE; 31000; marine; 3419
E-BIKE Smart; 35; 20300; FALSE; 14500; khaki; 885
E-BIKE Booster; 10; 7300; FALSE; 7600; flame; 239
FOLDING BIKE Intertool; 24; 9; 13300; FALSE; silver; 529
FOLDING BIKE Formula; 18; 9; 10100; FALSE; coral; 1625
E-BIKE Mando Footloose; 55; 23200; TRUE; 29000; golden; 2215
E-BIKE Speedway; 35; 19200; TRUE; 10400; brown; 1019
FOLDING BIKE Cayman; 20; 1; 13600; TRUE; golden; 1045
E-BIKE Porshe Design; 60; 28300; TRUE; 30000; white; 2869
FOLDING BIKE West Bike; 18; 21; 15100; FALSE; coral; 1065
E-BIKE Felt; 55; 24200; FALSE; 15000; yellow; 965
E-BIKE Mercedes; 55; 26200; TRUE; 12000; orange; 1765
E-BIKE Tesla; 15; 12200; TRUE; 2300; khaki; 615
E-BIKE Scott; 35; 25300; FALSE; 16000; olive; 3019
E-BIKE Felt; 30; 25200; FALSE; 10000; dark gray; 2845
E-BIKE Kugoo; 25; 15100; FALSE; 11300; black; 1429
E-BIKE Rover; 45; 25700; FALSE; 23000; orange; 3069
E-BIKE Rover; 40; 28100; FALSE; 13000; grenadine; 1649
E-BIKE Xiaomi; 20; 28900; TRUE; 31000; khaki; 1739
E-BIKE Zaxboard; 30; 20300; FALSE; 30000; yellow; 1975
FOLDING BIKE Polygon; 20; 1; 10700; TRUE; emerald; 1355
FOLDING BIKE Titan; 14; 9; 10400; TRUE; golden; 1375
E-BIKE EcoRide; 65; 21700; FALSE; 12900; flame; 795
FOLDING BIKE Dahon; 24; 8; 13100; TRUE; silver; 229
FOLDING BIKE Titan; 14; 18; 13300; TRUE; emerald; 285
E-BIKE Farad; 45; 21500; TRUE; 12000; silver; 1385
E-BIKE Speedway; 30; 13200; TRUE; 15600; brown; 1575
FOLDING BIKE Flex; 26; 3; 13700; TRUE; olive; 1129
FOLDING BIKE Flex; 24; 8; 12600; TRUE; emerald; 825
E-BIKE Ferrari; 55; 23500; TRUE; 25000; violet; 1649
E-BIKE Farad; 25; 20700; FALSE; 13000; blue; 2355
E-BIKE Maraton; 30; 18700; FALSE; 2200; golden; 415
FOLDING BIKE Titan; 24; 6; 14400; TRUE; khaki; 359
FOLDING BIKE Titan; 20; 8; 10200; FALSE; pink; 185
FOLDING BIKE VNV; 26; 8; 14900; FALSE; marine; 825
FOLDING BIKE Stern; 24; 24; 14400; TRUE; marine; 705
E-BIKE OIO; 60; 14100; FALSE; 9100; silver; 415
E-BIKE Felt; 65; 21900; FALSE; 26000; white; 3359
E-BIKE Xiaomi; 15; 9000; TRUE; 5800; blue; 1255
E-BIKE AirWheel; 20; 14500; TRUE; 11600; orange; 499
E-BIKE Scott; 55; 23200; FALSE; 11000; violet; 1625
E-BIKE Mando Footloose; 20; 22000; TRUE; 16000; blue; 2539
E-BIKE Farad; 35; 19700; FALSE; 11000; brown; 3435
FOLDING BIKE Titan; 24; 24; 10800; FALSE; lemon; 1485
FOLDING BIKE Intertool; 24; 27; 9400; FALSE; violet; 1585
E-BIKE Segway; 45; 6800; FALSE; 3700; flame; 259
FOLDING BIKE Kross; 20; 8; 11500; FALSE; green; 345
E-BIKE Aest; 40; 15100; TRUE; 7700; olive; 159
FOLDING BIKE Flex; 26; 1; 13400; TRUE; white; 595
E-BIKE Peugeot; 60; 19300; TRUE; 11300; beige; 185
E-BIKE EcoRide; 30; 13400; FALSE; 11500; lemon; 1615
FOLDING BIKE Stern; 18; 24; 9000; TRUE; emerald; 495
E-BIKE Mercedes; 65; 27800; FALSE; 12000; violet; 3015
E-BIKE OIO; 60; 21400; FALSE; 6700; golden; 1455
E-BIKE Zaxboard; 65; 28700; TRUE; 11000; silver; 2975
FOLDING BIKE Polygon; 16; 21; 16800; FALSE; khaki; 295
FOLDING BIKE Author; 24; 18; 15300; TRUE; red; 1079
FOLDING BIKE Formula; 18; 21; 10900; FALSE; green; 1419
E-BIKE Kugoo; 35; 14400; FALSE; 7800; golden; 745
E-BIKE Mando Footloose; 65; 19900; FALSE; 8000; coral; 1949
FOLDING BIKE Crosser; 20; 9; 9500; TRUE; rose; 979
E-BIKE OIO; 25; 16400; TRUE; 7700; khaki; 1469
E-BIKE Segway; 50; 14300; TRUE; 12700; coral; 609
FOLDING BIKE Kross; 24; 24; 8500; TRUE; olive; 579
E-BIKE Maraton; 50; 21400; TRUE; 11300; green; 1105
E-BIKE Speedelec Minirider; 35; 21900; FALSE; 13400; dark gray; 859
E-BIKE Ultron; 45; 21000; FALSE; 3700; beige; 239
E-BIKE Zaxboard; 55; 22400; TRUE; 27000; blue; 2249
E-BIKE Porshe Design; 20; 27700; FALSE; 20000; grenadine; 1309
E-BIKE Kugoo; 55; 11400; FALSE; 12300; lemon; 1325
E-BIKE Gazelle; 45; 25200; TRUE; 11000; yellow; 855
E-BIKE Lankeleisi; 45; 28800; FALSE; 13000; pink; 1209
E-BIKE Booster; 40; 9900; TRUE; 2400; black; 1635
FOLDING BIKE Dahon; 24; 21; 9000; FALSE; dark gray; 485
E-BIKE Mercedes; 25; 26000; FALSE; 30000; orange; 3445
FOLDING BIKE Stern; 20; 27; 16500; FALSE; white; 439
FOLDING BIKE Formula; 24; 7; 9600; TRUE; grey; 385
FOLDING BIKE Titan; 20; 24; 11800; FALSE; flame; 1499
FOLDING BIKE Trinx; 14; 18; 12100; FALSE; black; 435
E-BIKE Mercedes; 50; 24200; TRUE; 21000; orange; 3459
E-BIKE Haibike; 60; 25700; TRUE; 8000; golden; 1299
FOLDING BIKE Comanche; 26; 1; 9900; TRUE; grey; 199
E-BIKE Ecofect; 45; 24500; TRUE; 27000; yellow; 2929
E-BIKE Aest; 50; 15600; FALSE; 7600; yellow; 379
E-BIKE Maraton; 30; 14800; FALSE; 12800; white; 889
E-BIKE Xiaomi; 60; 17000; TRUE; 12300; violet; 1209
E-BIKE Aest; 20; 11700; TRUE; 12800; emerald; 365
E-BIKE Gazelle; 55; 20800; TRUE; 14000; violet; 1805
E-BIKE Ferrari; 50; 28500; FALSE; 25000; golden; 1489
E-BIKE Gazelle; 25; 28900; FALSE; 12000; red; 2129
E-BIKE Mando Footloose; 40; 27600; FALSE; 16000; flame; 2105
E-BIKE Tesla; 50; 19500; FALSE; 6000; emerald; 1395
E-BIKE Kugoo; 65; 17700; TRUE; 15100; khaki; 539
E-BIKE Mando Footloose; 40; 24200; FALSE; 16000; golden; 2255
E-BIKE EcoRide; 15; 8300; TRUE; 15600; blue; 1055
E-BIKE Mando Footloose; 40; 21500; FALSE; 28000; white; 1815
FOLDING BIKE Titan; 20; 18; 15600; TRUE; green; 665
E-BIKE Rover; 65; 25100; FALSE; 29000; grey; 2939
FOLDING BIKE West Bike; 20; 6; 16300; FALSE; beige; 1025
E-BIKE Maraton; 65; 16300; TRUE; 12100; red; 1499
E-BIKE Peugeot; 55; 6800; TRUE; 12900; khaki; 515
FOLDING BIKE Dahon; 14; 27; 9700; TRUE; white; 1215
E-BIKE Ferrari; 55; 20900; FALSE; 28000; olive; 3055
E-BIKE OIO; 40; 9900; TRUE; 6100; violet; 535
E-BIKE Felt; 35; 22800; FALSE; 13000; beige; 1975
E-BIKE EcoRide; 60; 19400; TRUE; 5100; khaki; 715
E-BIKE E-Scooter; 25; 16400; FALSE; 7800; rose; 235
E-BIKE Lankeleisi; 60; 19100; FALSE; 28000; flame; 2989
E-BIKE Kugoo; 40; 20100; TRUE; 8100; grenadine; 425
E-BIKE Speedway; 60; 9900; TRUE; 6100; marine; 445
E-BIKE Porshe Design; 35; 20100; TRUE; 25000; dark gray; 759
E-BIKE Lankeleisi; 25; 26600; TRUE; 9000; yellow; 3289
E-BIKE OIO; 20; 7600; TRUE; 13500; violet; 849
E-BIKE Peugeot; 60; 21100; TRUE; 15800; lemon; 199
FOLDING BIKE Author; 24; 7; 11000; TRUE; grenadine; 249
FOLDING BIKE West Bike; 18; 6; 15600; FALSE; blue; 1219
E-BIKE Scott; 45; 21800; TRUE; 28000; dark gray; 2039
E-BIKE Mando Footloose; 65; 22500; TRUE; 30000; lemon; 1365
E-BIKE E-Motion; 40; 19100; FALSE; 26000; khaki; 1015
E-BIKE Kugoo; 20; 9000; FALSE; 9900; black; 1225
E-BIKE GoCycle; 60; 23700; TRUE; 18000; orange; 1219
FOLDING BIKE Make Bike; 20; 3; 10300; TRUE; silver; 955
FOLDING BIKE Crosser; 14; 27; 15100; TRUE; silver; 1659
FOLDING BIKE West Bike; 26; 24; 13300; TRUE; brown; 185
FOLDING BIKE Dahon; 24; 7; 10900; FALSE; violet; 1515
E-BIKE ION; 60; 27200; FALSE; 28000; emerald; 1939
E-BIKE Scott; 30; 28000; TRUE; 31000; olive; 1125
FOLDING BIKE BMW; 20; 9; 14600; TRUE; marine; 1605
E-BIKE ITrike; 55; 14100; FALSE; 14100; marine; 1459
E-BIKE SkyBike; 20; 25600; TRUE; 22000; white; 3329
E-BIKE Ferrari; 35; 20600; TRUE; 10000; emerald; 805
E-BIKE E-Scooter; 35; 9700; FALSE; 11500; yellow; 559
E-BIKE Xiaomi; 15; 6700; FALSE; 11300; emerald; 1225
E-BIKE Haibike; 45; 27600; FALSE; 17000; flame; 809
FOLDING BIKE Comanche; 20; 6; 15100; TRUE; pink; 1259
E-BIKE Felt; 50; 28900; TRUE; 25000; olive; 2599
E-BIKE Scott; 55; 24400; FALSE; 13000; golden; 2719
E-BIKE ION; 40; 28200; FALSE; 11000; brown; 1695
E-BIKE ElectrO; 35; 27000; FALSE; 21000; black; 2735
FOLDING BIKE Intertool; 24; 3; 11500; FALSE; pink; 1579
E-BIKE Tesla; 20; 9100; TRUE; 3900; violet; 1599
E-BIKE Porshe Design; 30; 28700; TRUE; 31000; golden; 1619
E-BIKE Haibike; 30; 22600; FALSE; 21000; grenadine; 1405
E-BIKE Gazelle; 55; 25300; TRUE; 13000; beige; 1569
E-BIKE OIO; 15; 7100; TRUE; 9400; rose; 1065
E-BIKE E-Scooter; 30; 10500; FALSE; 9200; emerald; 155
E-BIKE Zaxboard; 60; 28500; FALSE; 27000; silver; 1319
E-BIKE Speedelec Minirider; 10; 7800; FALSE; 8900; grey; 869
E-BIKE Speedelec Minirider; 30; 19700; FALSE; 3100; grey; 1649
E-BIKE E-Scooter; 15; 11900; TRUE; 14500; silver; 439
FOLDING BIKE SkyBike; 20; 3; 11900; FALSE; yellow; 1115
E-BIKE Rover; 20; 21400; FALSE; 16000; flame; 1659
E-BIKE Rover; 65; 24700; TRUE; 27000; green; 2779
E-BIKE Tesla; 35; 20300; TRUE; 7700; flame; 135
E-BIKE Ultron; 35; 21700; FALSE; 14600; orange; 1645
E-BIKE Ultron; 25; 16000; TRUE; 10400; violet; 909
FOLDING BIKE Make Bike; 20; 7; 8800; TRUE; khaki; 799
E-BIKE Speedelec Minirider; 60; 14500; TRUE; 12400; marine; 1475
E-BIKE Booster; 10; 21400; FALSE; 9700; brown; 1019
E-BIKE E-Scooter; 15; 21000; FALSE; 6600; beige; 1129
E-BIKE Ultron; 40; 11900; TRUE; 7100; white; 1305
FOLDING BIKE BMW; 16; 6; 12500; TRUE; marine; 1559
E-BIKE AirWheel; 20; 6500; TRUE; 2100; flame; 199
FOLDING BIKE West Bike; 20; 18; 11100; TRUE; rose; 1305
E-BIKE SkyBike; 25; 19100; TRUE; 11000; golden; 1125
E-BIKE Segway; 50; 11600; TRUE; 7300; marine; 375
FOLDING BIKE Trinx; 24; 3; 13900; TRUE; beige; 1115
E-BIKE Rover; 45; 24900; TRUE; 12000; brown; 2665
FOLDING BIKE Cayman; 24; 7; 15600; FALSE; golden; 999
E-BIKE Speedelec Minirider; 65; 20000; TRUE; 8100; black; 1409
E-BIKE Mando Footloose; 35; 23000; TRUE; 19000; green; 2495
E-BIKE Xiaomi; 20; 17400; TRUE; 4200; emerald; 785
FOLDING BIKE Flex; 16; 18; 12500; FALSE; grenadine; 905
E-BIKE Kugoo; 30; 9300; FALSE; 7900; dark gray; 559
E-BIKE Tesla; 45; 20700; FALSE; 14600; olive; 205
E-BIKE Gazelle; 60; 20600; FALSE; 11000; emerald; 2879
E-BIKE Zaxboard; 20; 27000; TRUE; 23000; yellow; 1309
E-BIKE Xiaomi; 55; 9500; FALSE; 12500; golden; 779
E-BIKE Peugeot; 40; 14800; TRUE; 13200; rose; 339
E-BIKE AirWheel; 65; 6900; FALSE; 6300; green; 1615
FOLDING BIKE BMW; 16; 9; 12600; FALSE; emerald; 1649
E-BIKE Rover; 40; 25600; TRUE; 20000; red; 1489
FOLDING BIKE Brompton; 24; 24; 14500; TRUE; dark gray; 1145
E-BIKE GoCycle; 35; 27900; FALSE; 10000; brown; 2685
FOLDING BIKE Trinx; 14; 3; 9100; FALSE; coral; 679
